age_degree,male,race,is_med_or_high_risk,label
8,0,African-American,1,0
3,1,African-American,1,1
3,1,African-American,1,1
2,0,Caucasian,1,1
3,1,African-American,1,0
9,1,Other,0,0
3,1,African-American,1,1
2,1,African-American,1,1
3,1,Hispanic,0,1
5,1,Hispanic,1,1
8,1,African-American,0,0
2,1,Hispanic,1,1
2,1,Other,0,0
7,0,African-American,1,1
5,0,African-American,1,1
2,1,African-American,1,1
3,1,Caucasian,1,1
3,1,Caucasian,1,1
6,1,Caucasian,0,0
7,1,Caucasian,1,0
3,1,Hispanic,1,1
6,1,African-American,1,1
7,1,Caucasian,0,0
9,1,Caucasian,0,0
4,1,African-American,0,0
2,1,African-American,1,1
3,0,African-American,0,0
3,1,Caucasian,1,1
3,1,African-American,0,0
2,0,Caucasian,0,0
2,1,African-American,0,1
2,0,African-American,1,1
7,1,Caucasian,1,0
2,1,African-American,1,1
5,1,African-American,1,1
4,1,Caucasian,1,1
9,1,Other,0,0
2,1,African-American,0,0
3,1,African-American,1,1
7,1,Caucasian,0,0
9,1,Caucasian,0,0
8,1,African-American,1,1
9,1,Caucasian,1,0
9,1,Asian,0,0
3,0,Caucasian,1,1
4,1,African-American,0,0
6,1,Other,0,1
5,0,African-American,0,1
5,1,Hispanic,1,1
2,1,African-American,1,0
3,1,Caucasian,1,0
5,1,Caucasian,0,0
1,1,Hispanic,1,1
2,1,African-American,0,0
3,1,African-American,1,1
3,1,African-American,1,1
8,1,Hispanic,0,0
5,1,Caucasian,1,1
1,1,African-American,0,0
7,1,Caucasian,0,0
5,1,African-American,0,0
3,1,Caucasian,1,1
3,1,Caucasian,0,0
3,1,Caucasian,0,0
2,1,Hispanic,1,1
4,1,African-American,1,1
2,1,African-American,1,1
2,1,African-American,1,1
4,1,Caucasian,1,1
2,0,African-American,0,1
6,1,Caucasian,1,0
6,1,African-American,0,0
2,0,African-American,1,0
4,0,Caucasian,1,1
3,1,African-American,0,0
3,0,Caucasian,1,1
9,1,African-American,1,1
8,1,Caucasian,0,0
9,1,Hispanic,0,0
5,0,Caucasian,1,1
6,1,Hispanic,1,1
3,1,African-American,1,1
4,1,African-American,1,0
2,1,African-American,0,0
2,1,Other,1,1
6,1,African-American,0,1
4,0,Caucasian,1,1
3,1,Hispanic,0,1
5,1,Caucasian,0,0
2,1,Hispanic,1,0
2,1,Asian,1,1
3,1,Other,1,1
3,1,African-American,0,1
4,1,Caucasian,0,0
4,1,Caucasian,0,0
3,1,Caucasian,0,0
2,1,Hispanic,0,0
5,1,African-American,0,1
2,1,African-American,0,0
6,1,Caucasian,0,0
2,1,Hispanic,0,0
4,1,Caucasian,1,0
2,1,African-American,1,0
2,1,African-American,0,0
3,1,African-American,1,1
4,1,African-American,0,0
3,1,African-American,0,1
2,1,African-American,0,1
3,1,African-American,1,1
4,0,Caucasian,1,0
4,0,Caucasian,0,1
8,1,Caucasian,0,0
2,1,African-American,0,1
4,1,Caucasian,1,1
7,1,African-American,0,1
7,1,African-American,1,0
3,0,African-American,1,1
2,1,Caucasian,0,0
8,1,Caucasian,0,0
7,0,African-American,1,1
5,1,Caucasian,1,0
5,1,African-American,1,1
3,1,African-American,1,1
4,0,Caucasian,0,0
1,1,Caucasian,0,0
2,1,African-American,1,1
4,1,African-American,1,1
3,1,African-American,0,0
3,1,Caucasian,1,1
2,1,African-American,1,1
1,0,Other,0,0
3,1,African-American,0,0
2,1,Caucasian,0,0
6,1,African-American,1,1
7,0,Caucasian,0,0
5,0,African-American,0,0
2,1,African-American,0,0
2,1,African-American,1,1
3,1,African-American,1,1
2,1,Hispanic,1,1
2,0,Hispanic,0,0
3,1,African-American,1,1
3,0,African-American,1,0
7,0,Caucasian,0,0
4,1,African-American,0,0
6,1,Hispanic,0,0
3,1,African-American,0,0
2,1,African-American,1,0
6,0,Caucasian,1,1
9,1,African-American,0,0
2,1,African-American,1,1
1,1,African-American,1,1
3,1,Caucasian,0,0
2,1,Caucasian,1,0
5,1,African-American,1,1
9,1,Hispanic,0,0
7,0,Caucasian,0,0
3,1,African-American,1,1
3,1,African-American,0,0
8,1,African-American,0,1
2,1,African-American,1,1
7,1,Caucasian,0,0
3,1,Hispanic,0,0
3,1,African-American,1,1
2,1,African-American,1,1
7,1,Caucasian,0,0
6,1,Caucasian,1,0
3,1,African-American,1,0
6,0,Caucasian,0,0
4,1,African-American,0,0
2,1,African-American,0,0
9,0,Caucasian,0,0
2,1,Caucasian,1,1
6,1,African-American,0,0
3,1,African-American,1,1
2,1,African-American,1,1
8,1,African-American,0,0
3,1,Caucasian,0,0
3,0,Hispanic,0,0
4,1,Other,0,0
4,1,Caucasian,1,1
7,1,Caucasian,0,0
5,1,African-American,0,0
4,1,African-American,1,0
2,1,African-American,1,1
3,1,Hispanic,0,0
9,1,African-American,1,1
2,1,Caucasian,1,1
2,0,African-American,1,1
4,1,African-American,0,1
2,1,African-American,1,1
4,1,African-American,1,1
2,1,African-American,1,1
9,1,Caucasian,0,0
3,1,African-American,0,1
2,1,African-American,1,1
4,1,Caucasian,0,0
6,1,Caucasian,0,0
3,1,African-American,1,1
5,0,Hispanic,0,0
3,1,Caucasian,0,0
4,1,African-American,0,0
3,1,African-American,1,1
2,1,African-American,0,0
3,1,Caucasian,1,1
4,1,African-American,0,0
5,1,Other,0,0
3,1,African-American,1,1
2,1,Caucasian,0,0
6,1,African-American,0,0
8,1,African-American,0,0
3,1,African-American,1,1
4,1,African-American,1,1
2,0,African-American,1,1
9,1,Caucasian,0,0
9,1,Caucasian,1,0
6,0,African-American,0,0
2,0,Caucasian,1,0
4,0,African-American,0,1
4,1,Caucasian,0,1
3,1,Hispanic,0,0
2,1,African-American,1,1
3,1,African-American,0,0
9,1,Hispanic,0,0
8,1,Caucasian,0,0
2,0,African-American,1,1
4,1,Caucasian,1,0
8,1,African-American,0,1
7,1,Caucasian,0,0
3,1,Other,0,0
2,1,Hispanic,1,1
5,1,African-American,1,1
4,1,African-American,1,1
2,0,Caucasian,0,0
4,0,Caucasian,1,0
3,0,African-American,1,0
2,1,Caucasian,0,0
4,1,African-American,0,0
5,1,Caucasian,0,0
4,1,African-American,0,0
3,1,African-American,0,0
4,1,African-American,1,1
5,1,Asian,0,0
3,1,Caucasian,0,0
3,1,African-American,0,0
6,1,African-American,1,1
2,0,Caucasian,1,1
3,0,Caucasian,1,1
4,1,Caucasian,0,0
2,1,Caucasian,1,0
7,1,Caucasian,0,0
4,1,Caucasian,0,1
5,1,African-American,1,1
6,1,African-American,0,1
3,1,Caucasian,1,1
9,0,Caucasian,0,0
2,0,African-American,1,1
3,1,Caucasian,0,0
4,1,African-American,1,0
6,1,African-American,1,1
4,0,African-American,0,0
2,1,Other,1,0
4,0,Caucasian,1,0
1,0,African-American,1,1
3,1,African-American,0,0
6,0,African-American,0,0
8,1,Caucasian,0,0
5,1,Hispanic,1,1
6,1,African-American,1,1
3,0,Hispanic,0,0
6,1,Caucasian,0,0
2,0,Caucasian,1,0
5,1,Caucasian,0,0
5,1,Caucasian,0,0
4,1,African-American,1,0
3,1,African-American,0,0
5,1,African-American,0,0
3,0,African-American,1,1
2,1,Caucasian,0,0
3,0,Caucasian,1,0
6,0,Caucasian,0,0
3,1,African-American,1,1
2,1,African-American,1,1
3,0,Caucasian,0,1
5,1,Caucasian,0,0
2,1,Caucasian,1,1
9,1,Caucasian,0,0
8,1,Other,1,0
5,1,Hispanic,1,1
3,1,Caucasian,0,0
4,1,Caucasian,1,1
5,1,Hispanic,0,0
2,1,African-American,1,1
2,1,Caucasian,0,0
7,1,Caucasian,0,0
5,0,African-American,0,1
2,0,African-American,1,1
4,1,Caucasian,0,0
6,1,Caucasian,0,0
3,1,African-American,1,0
3,1,African-American,0,0
2,1,African-American,0,0
4,1,Asian,0,0
7,1,Hispanic,0,0
5,1,African-American,1,1
5,1,Caucasian,0,0
6,1,African-American,1,1
2,1,Caucasian,1,1
2,1,Caucasian,0,0
9,0,Caucasian,0,0
6,1,Caucasian,0,0
9,1,African-American,1,1
3,0,Hispanic,0,0
3,1,African-American,0,0
4,0,Caucasian,1,1
2,1,Caucasian,0,0
8,1,Asian,0,0
3,0,Caucasian,1,0
6,0,Caucasian,0,0
3,0,Caucasian,0,0
4,1,African-American,1,0
5,1,Hispanic,0,0
2,1,African-American,1,0
6,0,Caucasian,0,0
3,0,African-American,1,1
3,1,Hispanic,1,1
8,0,African-American,0,0
2,1,Hispanic,1,1
2,0,Hispanic,1,1
4,1,Hispanic,0,1
2,1,African-American,0,1
3,0,African-American,0,0
4,1,Caucasian,0,0
5,1,African-American,0,1
3,0,Other,0,0
2,1,African-American,1,1
2,1,African-American,1,1
5,1,Hispanic,1,1
8,1,African-American,1,0
3,1,Hispanic,0,1
7,1,Caucasian,0,0
2,1,African-American,1,1
8,1,Hispanic,0,0
2,1,African-American,1,1
4,1,African-American,1,1
3,1,African-American,0,1
2,0,Caucasian,0,0
5,1,African-American,0,0
7,1,Caucasian,0,0
4,1,African-American,1,1
4,1,Hispanic,1,1
2,1,Other,0,0
9,1,Other,0,0
5,0,African-American,1,1
2,1,African-American,1,0
2,0,African-American,1,1
4,1,African-American,0,1
7,1,Caucasian,0,0
3,1,Other,0,0
3,1,Caucasian,1,0
2,1,African-American,1,1
3,0,African-American,0,0
4,1,African-American,1,0
4,1,Hispanic,1,0
3,0,Hispanic,0,0
9,0,Caucasian,0,0
4,0,Hispanic,0,0
2,1,Caucasian,1,1
7,1,African-American,0,0
3,1,Other,0,1
1,1,African-American,0,0
3,1,African-American,1,1
3,1,African-American,0,1
9,0,Caucasian,0,0
2,1,African-American,0,0
5,1,African-American,1,0
2,1,African-American,1,1
5,1,Caucasian,0,0
2,1,African-American,1,1
3,0,Other,1,1
5,1,Caucasian,0,0
3,1,African-American,0,0
9,1,Caucasian,0,1
5,1,African-American,1,0
5,1,African-American,1,1
4,1,African-American,0,0
4,0,African-American,1,1
2,1,Other,0,0
8,1,Caucasian,0,0
1,1,Caucasian,1,1
5,1,African-American,0,1
7,1,Caucasian,0,0
3,1,African-American,0,0
1,1,African-American,0,0
8,0,African-American,0,0
3,0,Caucasian,0,0
4,0,African-American,0,1
5,1,Caucasian,0,0
9,1,Caucasian,0,0
3,1,African-American,1,0
3,1,African-American,0,1
3,1,African-American,1,0
2,1,African-American,1,1
3,1,Hispanic,0,0
4,1,African-American,1,0
2,1,Caucasian,1,1
2,1,African-American,1,1
3,1,African-American,0,0
7,0,African-American,1,0
3,0,African-American,0,0
9,1,Other,0,0
2,1,Caucasian,1,1
2,1,Caucasian,0,0
8,0,African-American,0,0
6,1,African-American,0,0
2,1,African-American,1,0
4,1,African-American,1,0
3,1,Other,0,0
5,0,African-American,1,1
7,0,Other,0,0
7,1,Caucasian,0,0
9,1,Hispanic,1,0
2,1,African-American,1,1
4,1,Other,1,1
5,1,African-American,0,0
1,1,Native American,1,1
4,1,Caucasian,0,0
5,1,African-American,0,0
9,1,Hispanic,0,0
2,1,African-American,1,1
9,1,Caucasian,0,0
3,1,African-American,0,0
3,0,African-American,1,1
3,0,Caucasian,1,1
2,1,African-American,1,1
6,0,Caucasian,0,0
2,1,Hispanic,0,0
2,1,Caucasian,0,0
8,0,Caucasian,0,0
4,1,Hispanic,0,0
1,1,African-American,0,0
2,1,African-American,1,0
3,1,African-American,1,1
4,1,Caucasian,1,1
8,1,Caucasian,1,0
2,1,African-American,1,0
8,1,African-American,0,0
6,0,Caucasian,0,0
2,1,African-American,1,0
5,1,African-American,0,1
2,1,African-American,0,0
3,0,Caucasian,1,1
6,1,Other,0,0
5,1,African-American,0,0
9,1,Caucasian,0,0
7,1,Caucasian,0,0
1,1,Hispanic,1,1
4,1,African-American,1,1
3,1,Caucasian,1,1
4,1,African-American,0,1
9,1,Caucasian,0,0
3,0,African-American,1,0
6,1,African-American,0,1
1,1,Hispanic,0,0
3,1,African-American,1,1
6,1,African-American,1,0
2,1,Other,0,0
6,1,African-American,0,0
4,0,African-American,0,0
2,1,African-American,0,0
4,1,African-American,0,1
5,1,Caucasian,0,0
9,1,Caucasian,1,0
4,1,Caucasian,1,1
2,1,African-American,1,1
7,1,Caucasian,1,0
4,1,Caucasian,1,0
4,0,Hispanic,0,0
5,1,African-American,0,0
2,1,African-American,1,1
2,0,Hispanic,0,0
9,1,African-American,1,1
2,1,Caucasian,0,1
3,1,Caucasian,1,0
1,1,African-American,1,1
5,0,Caucasian,1,0
3,1,African-American,1,1
5,1,Caucasian,1,1
7,1,Caucasian,1,1
5,1,African-American,1,1
4,1,African-American,1,0
4,0,Hispanic,0,0
4,0,African-American,0,0
2,1,Caucasian,1,1
2,1,Hispanic,0,0
5,1,Caucasian,0,0
1,1,Other,0,0
8,1,African-American,1,1
3,1,Caucasian,1,0
4,1,African-American,1,1
9,1,Caucasian,0,0
6,1,Caucasian,0,0
5,1,Caucasian,0,0
5,1,Other,0,0
6,1,Caucasian,0,0
2,1,African-American,1,0
2,1,African-American,1,1
2,1,African-American,1,1
2,1,African-American,1,1
8,0,African-American,0,0
1,1,African-American,0,0
4,1,African-American,1,1
4,0,Caucasian,0,0
5,1,Caucasian,1,0
7,1,African-American,1,1
1,1,African-American,0,0
4,1,Caucasian,1,1
9,1,Caucasian,1,1
7,1,Hispanic,0,0
3,1,African-American,1,1
1,1,African-American,1,1
5,1,Caucasian,0,0
8,1,Caucasian,0,0
3,1,African-American,0,0
5,1,Other,0,0
3,1,Caucasian,1,1
3,1,African-American,1,0
4,1,African-American,1,1
1,1,Other,1,1
8,0,Caucasian,1,0
3,0,Caucasian,1,1
3,1,African-American,0,1
1,1,Caucasian,0,0
3,1,African-American,0,0
2,1,African-American,0,0
2,0,African-American,1,0
2,1,Other,1,1
3,1,Caucasian,0,0
2,1,Caucasian,1,1
1,1,Caucasian,1,1
2,1,Caucasian,1,1
4,1,African-American,1,1
3,0,Other,0,0
7,1,Caucasian,0,0
2,1,African-American,1,1
7,0,Caucasian,1,0
4,1,African-American,1,1
3,1,African-American,1,0
2,1,African-American,0,0
3,1,African-American,0,0
4,1,Other,0,0
8,1,Caucasian,0,0
5,1,Hispanic,0,0
2,1,African-American,1,1
2,1,Caucasian,1,0
1,0,Caucasian,1,0
6,1,Hispanic,0,0
3,1,Caucasian,0,0
4,0,African-American,0,0
2,1,African-American,1,1
8,0,Hispanic,0,0
3,0,African-American,1,1
3,0,Caucasian,0,0
7,1,African-American,0,1
6,1,African-American,1,1
2,1,Hispanic,1,1
8,1,Hispanic,0,0
7,1,Caucasian,0,0
8,1,African-American,1,1
4,0,African-American,0,0
4,1,Caucasian,0,1
2,1,Other,0,0
5,1,Other,0,0
2,1,African-American,0,1
7,0,Caucasian,1,1
4,1,Hispanic,1,0
3,1,Hispanic,0,0
6,1,African-American,1,1
2,1,African-American,0,0
4,1,African-American,1,1
2,1,African-American,0,1
2,1,Hispanic,1,1
9,1,Caucasian,0,0
2,1,African-American,0,0
2,1,Caucasian,0,0
9,1,Caucasian,0,0
3,1,African-American,1,1
3,1,Caucasian,0,0
2,1,Caucasian,1,1
5,1,Caucasian,0,0
4,1,African-American,1,1
3,1,Caucasian,0,0
4,1,Caucasian,0,0
2,1,African-American,1,0
2,0,Caucasian,1,0
4,1,Caucasian,0,0
3,1,Caucasian,0,1
5,0,African-American,1,0
3,0,African-American,0,0
9,1,Caucasian,0,0
4,0,African-American,0,0
2,1,African-American,0,1
3,1,African-American,1,1
6,1,Caucasian,0,0
5,1,Caucasian,0,0
5,1,Caucasian,0,0
2,1,African-American,0,1
3,1,African-American,0,0
8,0,Caucasian,0,0
4,1,African-American,1,0
9,1,African-American,1,0
4,1,Other,0,0
5,1,Caucasian,1,0
4,1,African-American,0,1
3,1,Caucasian,1,0
4,1,Caucasian,1,1
3,1,African-American,0,0
6,1,Caucasian,0,0
3,1,Caucasian,1,0
9,0,Caucasian,0,0
3,1,African-American,1,1
4,1,African-American,1,0
8,1,Hispanic,0,0
3,0,African-American,1,0
5,0,Caucasian,0,0
3,1,Caucasian,0,0
2,0,African-American,0,0
6,1,African-American,1,1
7,1,Caucasian,0,0
9,0,Caucasian,0,0
2,1,Caucasian,0,0
3,1,African-American,0,0
9,1,Caucasian,0,0
3,0,African-American,0,0
3,0,Caucasian,1,0
4,0,Caucasian,0,0
2,0,African-American,1,1
5,1,Caucasian,0,1
4,1,Caucasian,0,0
7,1,African-American,0,0
2,1,African-American,1,1
1,0,Caucasian,0,0
5,1,African-American,1,1
3,1,African-American,1,1
3,1,Hispanic,0,0
3,0,African-American,1,1
9,1,African-American,1,0
5,1,Hispanic,0,0
5,1,Other,0,0
2,1,Caucasian,1,1
3,1,African-American,1,0
1,1,African-American,1,1
9,1,African-American,1,1
7,0,Caucasian,0,0
7,1,Other,0,0
9,1,Caucasian,0,0
9,0,Hispanic,1,0
3,1,African-American,1,1
3,1,African-American,1,1
9,1,African-American,0,0
1,1,African-American,1,0
2,1,Caucasian,1,1
3,0,Caucasian,1,1
7,1,Hispanic,1,1
4,1,Caucasian,1,0
2,1,African-American,1,1
6,0,Hispanic,0,0
2,1,African-American,1,0
7,1,African-American,1,1
9,1,African-American,0,1
3,1,African-American,0,1
6,1,Caucasian,1,0
4,0,African-American,0,0
3,1,Caucasian,0,0
1,1,Hispanic,1,1
3,1,African-American,1,1
7,1,African-American,0,1
4,0,African-American,1,0
2,1,Caucasian,1,1
4,1,Caucasian,1,1
8,1,African-American,1,0
1,1,Caucasian,1,1
4,1,Caucasian,0,0
2,1,Caucasian,0,0
5,1,African-American,0,1
4,1,African-American,1,1
5,1,Caucasian,0,0
4,1,African-American,1,1
7,1,African-American,1,1
7,1,Native American,1,1
7,0,Other,0,0
2,0,African-American,1,1
4,1,African-American,0,0
7,1,African-American,0,1
2,1,African-American,1,1
3,0,African-American,1,1
3,1,Other,0,0
9,1,Hispanic,0,0
2,0,Caucasian,1,1
3,0,Other,0,0
5,1,Caucasian,0,0
4,1,Caucasian,0,0
7,1,African-American,1,0
8,1,Other,0,0
4,1,African-American,0,1
3,1,Caucasian,0,0
7,1,Caucasian,0,0
8,1,Caucasian,1,0
3,0,Caucasian,1,1
3,1,Caucasian,1,0
3,1,Other,0,0
2,1,African-American,0,1
6,1,Hispanic,0,0
2,1,Caucasian,0,0
4,1,African-American,1,1
4,1,African-American,1,1
5,0,African-American,1,1
5,1,African-American,1,1
8,0,Other,0,0
5,0,African-American,0,0
4,1,African-American,1,1
6,1,Caucasian,0,0
9,1,Caucasian,0,1
3,1,African-American,1,0
5,1,Caucasian,1,0
6,1,African-American,0,0
3,1,African-American,0,0
7,0,Caucasian,0,0
8,1,Caucasian,0,0
2,1,Hispanic,0,1
6,0,African-American,0,0
4,1,African-American,0,0
2,1,Caucasian,1,1
3,1,African-American,1,1
2,1,Hispanic,1,1
9,1,African-American,1,0
3,1,African-American,1,1
2,1,African-American,1,0
4,1,African-American,1,1
2,1,African-American,1,1
5,1,African-American,1,1
2,0,Caucasian,1,1
4,1,Other,1,1
7,1,Caucasian,1,0
2,0,African-American,1,1
3,1,African-American,1,1
3,1,African-American,1,1
2,1,African-American,0,0
2,1,Other,0,0
5,1,Hispanic,0,0
5,1,Hispanic,0,0
7,1,Caucasian,1,0
4,1,Hispanic,0,0
2,1,Caucasian,0,0
8,0,African-American,0,0
2,1,African-American,1,1
5,1,African-American,1,1
4,1,African-American,0,0
3,0,African-American,0,1
8,1,Caucasian,0,0
5,1,African-American,1,1
6,0,Caucasian,0,0
1,1,African-American,1,1
2,1,Caucasian,0,0
2,1,Caucasian,1,0
5,1,African-American,1,1
4,1,African-American,1,0
3,1,Caucasian,1,0
2,1,Hispanic,1,1
5,1,African-American,1,0
4,1,African-American,1,1
4,1,Caucasian,0,0
6,1,Hispanic,0,0
5,1,African-American,1,1
2,1,African-American,1,0
3,1,African-American,1,1
3,1,Hispanic,0,0
9,1,African-American,1,1
6,1,African-American,0,0
3,1,African-American,0,0
4,1,African-American,0,0
9,0,Caucasian,0,0
5,0,Caucasian,0,0
4,1,Caucasian,1,1
3,1,African-American,1,1
3,1,Caucasian,1,0
2,0,Caucasian,1,1
5,1,African-American,0,0
9,1,African-American,0,0
4,1,African-American,1,1
7,1,Hispanic,0,0
3,1,Hispanic,1,1
2,1,African-American,1,1
7,1,African-American,1,1
2,1,Hispanic,1,0
5,0,African-American,1,1
4,1,Hispanic,0,0
1,1,African-American,0,0
3,1,Caucasian,1,0
3,1,African-American,0,1
2,1,African-American,1,1
1,1,African-American,1,1
3,1,Caucasian,1,1
8,1,African-American,0,0
3,1,Caucasian,0,0
8,0,Caucasian,0,0
8,1,African-American,1,1
3,1,Hispanic,1,1
9,1,Caucasian,0,0
6,1,Caucasian,0,0
3,1,Hispanic,0,0
2,0,African-American,0,0
1,0,Caucasian,1,1
3,1,Caucasian,1,1
5,1,African-American,0,1
2,1,Caucasian,1,0
2,1,Caucasian,1,0
3,0,African-American,0,0
4,1,African-American,1,1
3,1,Caucasian,0,0
2,1,African-American,0,0
5,1,African-American,1,1
7,0,Other,0,0
7,1,Other,0,0
3,1,African-American,1,1
4,1,African-American,0,1
2,0,African-American,0,1
8,0,African-American,1,1
2,0,African-American,1,1
8,1,Caucasian,0,0
7,1,African-American,1,1
1,1,African-American,1,1
2,1,Caucasian,0,0
7,0,Caucasian,0,0
3,1,African-American,1,1
2,1,Caucasian,0,0
5,1,Caucasian,0,0
5,0,Hispanic,0,0
4,0,African-American,0,1
1,1,African-American,1,1
3,0,Caucasian,1,1
2,0,Caucasian,1,1
4,0,Hispanic,1,1
6,1,Caucasian,0,0
8,1,Caucasian,0,0
3,1,African-American,1,1
3,1,African-American,0,1
2,1,Caucasian,1,0
7,1,Caucasian,1,1
1,1,Caucasian,1,1
8,1,Caucasian,0,0
5,1,African-American,0,0
5,1,Other,0,0
3,1,African-American,1,1
3,0,Caucasian,0,1
2,0,African-American,1,1
2,0,African-American,1,1
4,1,Caucasian,0,0
2,0,Caucasian,0,0
7,1,Caucasian,0,0
4,1,Hispanic,1,1
2,1,Hispanic,0,0
5,0,Caucasian,0,0
3,1,African-American,1,1
3,1,African-American,1,1
9,1,Caucasian,0,0
6,1,Caucasian,0,0
2,1,African-American,1,0
3,1,Caucasian,0,0
3,0,African-American,1,1
8,1,Caucasian,0,0
6,1,Hispanic,0,1
2,1,Caucasian,1,0
7,1,African-American,0,1
3,1,Caucasian,0,0
4,1,African-American,0,1
3,1,African-American,1,1
2,1,African-American,0,0
9,1,Caucasian,0,0
3,0,African-American,0,0
3,0,Caucasian,0,1
2,1,African-American,1,0
2,1,Caucasian,0,0
3,0,African-American,0,0
4,1,African-American,0,0
2,1,Caucasian,0,0
7,1,African-American,1,0
2,1,Caucasian,1,1
5,1,African-American,1,0
4,1,African-American,0,0
2,1,African-American,1,1
2,1,African-American,1,1
2,1,African-American,0,0
6,1,African-American,1,1
3,1,African-American,0,1
3,0,African-American,0,0
3,1,African-American,1,0
3,1,Hispanic,0,0
3,1,Caucasian,0,0
2,1,African-American,1,1
6,1,Other,0,0
3,0,African-American,0,0
1,1,African-American,0,0
2,0,Caucasian,1,1
5,0,Other,1,1
5,1,African-American,0,1
2,0,African-American,1,0
3,1,African-American,1,1
3,1,African-American,0,1
6,1,Caucasian,0,0
2,1,African-American,1,1
6,1,Caucasian,0,0
8,0,Caucasian,0,0
5,1,Caucasian,0,0
2,1,Caucasian,1,0
2,1,African-American,0,0
9,0,African-American,0,0
7,1,Other,0,0
4,1,African-American,1,1
5,0,African-American,1,1
3,1,Caucasian,0,0
2,0,African-American,0,1
1,1,African-American,1,1
2,1,African-American,0,1
2,1,Caucasian,0,0
7,1,Hispanic,0,0
7,1,Caucasian,0,0
3,1,African-American,1,1
8,1,African-American,1,1
2,1,African-American,1,1
2,1,African-American,1,1
4,1,African-American,1,0
2,1,African-American,1,1
2,1,Hispanic,1,0
4,1,African-American,0,1
3,1,African-American,1,1
7,1,Caucasian,1,1
2,1,African-American,0,0
1,0,African-American,0,0
4,1,Other,0,0
3,1,African-American,0,1
6,1,African-American,1,1
3,1,African-American,0,1
3,1,Caucasian,0,1
7,1,Caucasian,1,0
6,1,Caucasian,0,0
5,1,African-American,0,1
2,1,African-American,1,1
7,1,Caucasian,0,0
9,1,Caucasian,0,0
5,1,African-American,0,0
5,1,African-American,1,0
3,0,African-American,1,1
2,1,Caucasian,1,1
3,1,African-American,1,1
2,1,African-American,0,1
5,1,African-American,0,0
7,1,Caucasian,0,0
3,1,African-American,1,1
2,0,African-American,1,1
8,1,African-American,1,0
9,1,African-American,0,0
3,1,African-American,0,0
8,1,Caucasian,1,0
9,1,Caucasian,0,0
2,1,Hispanic,0,0
8,1,Other,0,0
3,1,African-American,0,0
3,1,African-American,1,1
3,1,Caucasian,1,0
5,1,Caucasian,0,0
2,1,African-American,1,1
4,1,African-American,0,0
7,0,Hispanic,0,0
2,1,African-American,1,1
9,1,Other,0,0
7,1,Caucasian,1,0
2,1,Hispanic,0,0
4,1,African-American,1,1
2,0,African-American,1,1
4,1,African-American,1,1
4,0,African-American,0,0
3,1,African-American,1,1
7,1,Caucasian,1,1
3,1,African-American,0,0
3,1,Caucasian,0,1
8,1,African-American,1,0
9,1,Hispanic,0,0
3,1,African-American,1,1
3,1,Caucasian,0,0
7,1,Caucasian,0,0
3,1,Hispanic,0,0
2,1,Caucasian,0,0
9,1,Caucasian,0,0
3,1,African-American,1,1
8,0,African-American,0,0
2,1,Caucasian,1,0
7,1,African-American,0,0
6,0,Caucasian,0,0
8,0,Hispanic,0,0
3,1,African-American,1,1
8,1,Caucasian,0,0
7,1,African-American,0,0
3,1,Caucasian,0,0
7,0,African-American,1,1
9,1,African-American,0,0
2,1,African-American,1,1
7,1,Caucasian,1,1
8,1,African-American,0,0
8,1,Caucasian,0,0
3,1,African-American,1,1
2,1,African-American,1,1
3,1,Hispanic,0,0
5,1,Caucasian,0,0
4,1,Hispanic,1,1
3,1,African-American,0,1
3,1,African-American,0,1
6,1,African-American,0,1
4,1,African-American,1,0
7,1,African-American,1,1
5,1,Caucasian,1,0
8,1,African-American,1,0
4,1,African-American,0,1
2,1,Caucasian,1,1
9,1,African-American,0,0
7,0,Caucasian,0,0
8,0,Caucasian,1,1
3,1,African-American,0,1
2,0,African-American,1,1
4,1,Hispanic,0,0
5,1,African-American,0,1
4,1,African-American,1,1
3,1,African-American,0,0
3,1,African-American,0,0
3,1,African-American,1,1
4,0,Caucasian,1,1
7,1,African-American,1,1
3,1,African-American,0,0
3,1,Hispanic,1,1
4,0,African-American,0,0
3,1,Hispanic,1,1
2,1,African-American,1,1
2,1,Caucasian,1,1
6,1,Caucasian,0,0
8,1,African-American,1,1
2,1,African-American,1,1
3,1,African-American,1,1
2,1,African-American,1,1
3,1,Hispanic,1,0
2,1,Caucasian,0,0
5,1,Hispanic,0,0
4,1,African-American,0,0
4,1,Caucasian,1,0
4,1,African-American,0,0
7,0,Caucasian,0,0
3,1,African-American,1,0
3,0,African-American,0,1
3,1,African-American,1,1
3,1,Caucasian,0,0
3,1,Caucasian,1,1
9,1,African-American,0,0
3,1,African-American,1,1
3,1,African-American,1,1
2,1,African-American,1,1
6,1,African-American,0,0
7,1,Caucasian,0,0
3,0,African-American,1,1
2,1,Hispanic,0,0
7,1,Hispanic,0,0
6,1,Caucasian,0,0
2,1,Caucasian,0,1
4,1,African-American,1,1
9,1,Hispanic,0,0
3,1,Caucasian,0,0
4,1,Caucasian,0,0
2,1,African-American,0,0
5,1,African-American,0,0
7,1,African-American,0,1
2,0,African-American,1,0
2,0,African-American,0,0
2,0,African-American,1,1
1,1,Caucasian,0,0
8,1,African-American,1,1
3,0,African-American,1,0
6,1,Caucasian,1,1
4,1,African-American,1,1
8,0,Caucasian,0,0
2,1,African-American,0,0
1,1,African-American,1,1
